estimator,"a,a","a,t0","a,v","a,z","t0,a","t0,t0","t0,v","t0,z","v,a","v,t0","v,v","v,z","z,a","z,t0","z,v","z,z"
sample-hessian,0.010228599933842035,-0.473657592567358,0.1733392624253361,0.1044894463992237,-0.47365759256735784,0.002395548678813229,-0.30494005854742096,0.46405046084112905,0.17333926242533607,-0.3049400585474209,0.08304602551133544,-0.5869994003307588,0.10448944639922401,0.46405046084112866,-0.5869994003307587,0.025366517523651582
outer-product,0.01016865659266983,-0.5635008238968513,0.3837237962995066,-0.0745416341867831,-0.563500823896851,0.0019848002761724656,-0.38052126330829333,0.46736690540072084,0.3837237962995065,-0.38052126330829344,0.0749091920478282,-0.5426896300819979,-0.07454163418678283,0.4673669054007208,-0.5426896300819978,0.022722020244793313
misspecification-robust,0.010611572970868623,-0.4011616117578087,-0.04474533527790429,0.26300590642156474,-0.4011616117578082,0.002965218261240901,-0.262306485231916,0.48382356949202987,-0.044745335277904474,-0.26230648523191574,0.09508962759127325,-0.6466351895233633,0.26300590642156535,0.48382356949202915,-0.6466351895233633,0.02944372232024146
autocorrelation-robust,0.010883081161758991,-0.39982222534154693,-0.003146836713533027,0.28696438284891906,-0.3998222253415466,0.002831003712342649,-0.3161061051842554,0.4516357893376423,-0.003146836713533138,-0.316106105184255,0.09112105929442169,-0.6587357016230938,0.2869643828489196,0.4516357893376415,-0.6587357016230937,0.028643251717002192
sample-hessian,0.010440748588490508,-0.5057555712420606,0.22629400047416312,0.02609592561257602,-0.5057555712420606,0.0026291362870746442,-0.34278129967106913,0.5099032483367891,0.22629400047416326,-0.34278129967106913,0.0854556954201482,-0.6113781705634302,0.026095925612575968,0.509903248336789,-0.6113781705634301,0.026804159529170164
outer-product,0.010962355352642592,-0.5315719141265757,0.26771882292820337,-0.028984801851553107,-0.5315719141265758,0.002659376281292887,-0.4057953212073342,0.6037351524855619,0.2677188229282036,-0.40579532120733436,0.08021049218875446,-0.5917805805155867,-0.028984801851553534,0.603735152485562,-0.5917805805155867,0.028288920261028506
misspecification-robust,0.009972505852852621,-0.48381592414115676,0.1884792947423031,0.07897004660779573,-0.4838159241411564,0.0026553955662464756,-0.2801574275996383,0.4054666694988657,0.1884792947423033,-0.2801574275996383,0.0915368570152018,-0.6410732547008526,0.07897004660779555,0.40546666949886573,-0.6410732547008525,0.025721678236486335
autocorrelation-robust,0.010139505216621238,-0.51194380823698,0.25320028302824527,-0.011166599370770773,-0.5119438082369797,0.002648603235229219,-0.24678101625862336,0.3939133429669929,0.25320028302824565,-0.2467810162586233,0.09056494616377929,-0.6212392058797774,-0.011166599370770799,0.3939133429669926,-0.6212392058797773,0.024487694970116058
sample-hessian,0.01072974366010333,-0.48532795851389404,0.1956690240661192,0.07030874971345552,-0.48532795851389393,0.002678526981672459,-0.3367038283437413,0.5052837673814317,0.1956690240661193,-0.33670382834374135,0.0815612569268624,-0.5972086450666722,0.07030874971345566,0.5052837673814317,-0.597208645066672,0.02603065166458343
outer-product,0.01050593711114564,-0.5181108208187465,0.3235150932866956,-0.019547477897670022,-0.5181108208187462,0.0022443765855687616,-0.3731314528606315,0.503876457880082,0.3235150932866954,-0.37313145286063165,0.07517696045827682,-0.5575125115908474,-0.01954747789766976,0.5038764578800818,-0.5575125115908472,0.02404801033462905
