estimator,"a,a","a,t0","a,beta_v","a,z","t0,a","t0,t0","t0,beta_v","t0,z","beta_v,a","beta_v,t0","beta_v,beta_v","beta_v,z","z,a","z,t0","z,beta_v","z,z"
autocorrelation-robust,0.013932406898994826,-0.5832463454112866,0.4725125777682995,-0.08306411450156338,-0.5832463454112857,0.00285961461907463,-0.37396435734560296,0.5372408863058216,0.47251257776829897,-0.3739643573456028,0.04254851587946579,-0.5822407940585055,-0.08306411450156269,0.5372408863058209,-0.5822407940585054,0.02711410551774582
sample-hessian,0.012946265780878582,-0.5877665233969328,0.3014298103328132,-0.024353807796590087,-0.587766523396933,0.0031972011665324994,-0.24448829560516364,0.4727163332754123,0.3014298103328132,-0.24448829560516344,0.03679205599192422,-0.5524911923260986,-0.024353807796590198,0.4727163332754123,-0.5524911923260987,0.025769058036578828
outer-product,0.01272485873043265,-0.5816182541443695,0.3015187237465483,-0.03453939941463011,-0.5816182541443694,0.003075764906126221,-0.23330566075728754,0.47098939816160756,0.30151872374654826,-0.2333056607572876,0.03729179896865611,-0.5556450842348714,-0.03453939941463001,0.47098939816160756,-0.5556450842348712,0.025550847794540404
misspecification-robust,0.013180707417748055,-0.5943187482461403,0.30197447580521425,-0.015234842388413456,-0.5943187482461403,0.0033244264095500437,-0.25627781787940807,0.47488291384166487,0.301974475805214,-0.25627781787940773,0.036310853424819246,-0.5497353576541274,-0.015234842388413607,0.47488291384166487,-0.5497353576541275,0.02600426757181996
autocorrelation-robust,0.013162863158247816,-0.597196446889003,0.3389817222664519,-0.016437988603165123,-0.5971964468890029,0.0032554836895678225,-0.357992211302304,0.5002970087350058,0.33898172226645173,-0.3579922113023037,0.03396499522566025,-0.6048141989747772,-0.016437988603165254,0.5002970087350057,-0.6048141989747776,0.025988676659227675
sample-hessian,0.012139150111823028,-0.4915765143501664,0.2566628600588407,0.08240606133935878,-0.491576514350166,0.0024912656925226546,-0.27150085220754927,0.5035926750579066,0.2566628600588405,-0.27150085220754927,0.04021700178990233,-0.555910845229272,0.08240606133935914,0.5035926750579063,-0.5559108452292718,0.026578768282845208
outer-product,0.011765505985570114,-0.4131804162783222,0.1961727525499611,0.19369695132979559,-0.41318041627832225,0.001814122652020494,-0.2770235514791076,0.4860971206202375,0.1961727525499612,-0.27702355147910773,0.03773713882685524,-0.5329610539831668,0.19369695132979545,0.48609712062023774,-0.5329610539831668,0.02607647098106012
misspecification-robust,0.013012532569011618,-0.5970177785229441,0.32078200737146756,-0.07812537736666593,-0.5970177785229435,0.003481744342486791,-0.28220249040260675,0.5612201848430657,0.32078200737146717,-0.28220249040260686,0.043011583435961405,-0.5806914232119073,-0.07812537736666507,0.5612201848430654,-0.5806914232119068,0.02780682351977813
autocorrelation-robust,0.013649412084494696,-0.5976809802641405,0.3218802882033708,-0.10111008868656096,-0.5976809802641398,0.003402396425099806,-0.2795118392306642,0.575202214205195,0.3218802882033703,-0.2795118392306642,0.044587337794481825,-0.5996695249380367,-0.1011100886865603,0.5752022142051947,-0.5996695249380363,0.02655163096711125
sample-hessian,0.0123731215661694,-0.5205218212498711,0.2822774114722638,0.022226895381370404,-0.5205218212498706,0.002809788318390975,-0.2956177835869936,0.5323342178913995,0.28227741147226343,-0.2956177835869931,0.03802617572051507,-0.5602565233080924,0.02222689538137094,0.5323342178913989,-0.5602565233080924,0.02671296070909164
outer-product,0.0130600320756653,-0.488466129837632,0.3526312098470621,-0.005523238966826236,-0.48846612983763216,0.0027313096484539844,-0.4238435366654831,0.6350945002430904,0.3526312098470621,-0.4238435366654831,0.041636876113412796,-0.607785468844251,-0.005523238966826104,0.6350945002430903,-0.607785468844251,0.030823514132104733
misspecification-robust,0.011877952355353888,-0.5636182859769899,0.20202880968832435,0.04641811278513373,-0.5636182859769892,0.002998874080355146,-0.17342526561831884,0.4328155160003372,0.20202880968832354,-0.1734252656183177,0.03504312470938337,-0.5102806007509938,0.046418112785135204,0.43281551600033574,-0.5102806007509938,0.02316514171696033
autocorrelation-robust,0.011295643718396826,-0.5850663170805145,0.19684192714569843,-0.030621705295670227,-0.5850663170805137,0.0029159607049017997,-0.04902636167919113,0.4014993163721142,0.1968419271456978,-0.04902636167918994,0.035617239071597785,-0.48489567446587534,-0.030621705295669217,0.40149931637211295,-0.4848956744658756,0.022469440274411917
sample-hessian,0.012695931893456955,-0.5384944043369527,0.2768834999617555,0.04217535994732732,-0.5384944043369527,0.00287351636939018,-0.24102947889707982,0.4602103066728349,0.2768834999617557,-0.2410294788970799,0.03726236806972491,-0.5494983075114548,0.04217535994732721,0.46021030667283497,-0.5494983075114547,0.025762504593505833
