estimator,"a,a","a,t0","a,v","a,z","t0,a","t0,t0","t0,v","t0,z","v,a","v,t0","v,v","v,z","z,a","z,t0","z,v","z,z"
misspecification-robust,0.01667431042920437,-0.6577029593038006,0.4060396351250909,-0.08227031368625036,-0.6577029593038001,0.004457042422487058,-0.44977542686590993,0.5693509278162217,0.40603963512509156,-0.4497754268659101,0.09868652627862716,-0.6185921418146544,-0.08227031368625111,0.5693509278162221,-0.6185921418146548,0.029729295258645386
autocorrelation-robust,0.016411607199143398,-0.6712148251210367,0.49823117930655336,-0.22336707728475266,-0.671214825121036,0.004497226014896966,-0.45499352619542804,0.6504089706355507,0.4982311793065537,-0.4549935261954281,0.09681098078359414,-0.5830326909828709,-0.22336707728475289,0.6504089706355506,-0.5830326909828709,0.028336922285615258
sample-hessian,0.016466378023915467,-0.5301416066281386,0.3509750920375222,0.007518245442221879,-0.5301416066281377,0.0042560977154490545,-0.5491452853280925,0.6812345083362483,0.35097509203752175,-0.5491452853280925,0.11171065535647101,-0.6763824501292778,0.0075182454422226,0.6812345083362477,-0.6763824501292774,0.03791582385585369
outer-product,0.017123145407679334,-0.5965180168081168,0.3607279482733839,-0.004024665990201888,-0.5965180168081169,0.0043667611771064825,-0.5022379653650283,0.6171659626188908,0.3607279482733837,-0.5022379653650282,0.10961035983459637,-0.6539202820386859,-0.0040246659902019154,0.6171659626188908,-0.6539202820386859,0.034941279599781154
misspecification-robust,0.015914895626984504,-0.46066428253761416,0.338772771312948,0.01917716327404312,-0.46066428253761244,0.004215817808087219,-0.5976239118794358,0.7419056764092348,0.3387727713129473,-0.5976239118794355,0.11430509441918257,-0.699998511380473,0.019177163274044208,0.7419056764092337,-0.6999985113804726,0.041156778566972856
autocorrelation-robust,0.013855845400475108,-0.42143397763343576,0.2684522642952465,0.033646073148766324,-0.4214339776334344,0.003955031224062924,-0.5838338935700201,0.7437978627441434,0.26845226429524527,-0.5838338935700196,0.11669321569019217,-0.7121200876483104,0.03364607314876739,0.7437978627441423,-0.7121200876483099,0.04061702715753709
sample-hessian,0.017035767873420503,-0.5488065095431237,0.37247491377621167,0.009621310036335089,-0.5488065095431232,0.004231713446746748,-0.534286257406344,0.6531326870195104,0.3724749137762112,-0.5342862574063436,0.1046802282386896,-0.650827822740231,0.009621310036335894,0.6531326870195099,-0.6508278227402308,0.03517399244003845
outer-product,0.016898051287863498,-0.4722885848629482,0.3021491796220868,0.05374594610905136,-0.47228858486294795,0.004506631898847519,-0.5753173389049363,0.7043369501682262,0.3021491796220864,-0.5753173389049364,0.1179811453579962,-0.7093096093317903,0.0537459461090515,0.7043369501682262,-0.7093096093317901,0.04061709859811986
misspecification-robust,0.01719418752360156,-0.6157343236926317,0.44029610046922396,-0.03464437778762582,-0.6157343236926311,0.00402573610499052,-0.5022497036668058,0.6030018870792774,0.44029610046922346,-0.502249703666805,0.09383071135963683,-0.5874647828645967,-0.03464437778762444,0.6030018870792757,-0.5874647828645962,0.03069169965436529
autocorrelation-robust,0.017816568748170822,-0.6527525008891732,0.5018430131622016,-0.10909529251798827,-0.6527525008891722,0.003965227661362222,-0.5691645793050726,0.6181339528831243,0.5018430131622011,-0.5691645793050725,0.09665129996152297,-0.5975809313685276,-0.10909529251798661,0.618133952883123,-0.5975809313685271,0.02836987618050119
sample-hessian,0.016089176053383423,-0.5830711024951992,0.3908366482073055,-0.05545659186521878,-0.5830711024951993,0.004161335838458056,-0.5429796734107376,0.6683563083613739,0.3908366482073059,-0.5429796734107377,0.10924412230514755,-0.6708573838866627,-0.05545659186521899,0.6683563083613742,-0.670857383886663,0.035445428305750225
outer-product,0.016480779970312862,-0.5970328316743843,0.35974490232661166,-0.05407277199343473,-0.597032831674384,0.004669276262958313,-0.5162054255001709,0.654917152982974,0.3597449023266113,-0.5162054255001707,0.11407236688617288,-0.6834143828030339,-0.054072771993434306,0.6549171529829739,-0.6834143828030338,0.036137142407254255
misspecification-robust,0.015840609120312217,-0.5794730412702221,0.4261379746191576,-0.06905358023992626,-0.5794730412702218,0.003767781138970117,-0.5753545970281779,0.689804275384116,0.4261379746191582,-0.5753545970281783,0.10507777664834905,-0.6612858483458574,-0.06905358023992621,0.6898042753841165,-0.6612858483458582,0.03504090573570488
autocorrelation-robust,0.01494559916636642,-0.4811506867008481,0.4049505567608059,0.06649544636783417,-0.48115068670084776,0.003690834238762197,-0.5262480850433481,0.6492740932050729,0.4049505567608065,-0.5262480850433484,0.09940305896272116,-0.5961898572502626,0.06649544636783407,0.6492740932050733,-0.596189857250263,0.03413232826003775
sample-hessian,0.018683143996990982,-0.5720978914222584,0.3929147413206556,0.003980889943094647,-0.5720978914222586,0.004647581953954357,-0.5505880572384972,0.649135818224422,0.392914741320656,-0.5505880572384977,0.1106358441019032,-0.660940543070136,0.003980889943093962,0.6491358182244226,-0.6609405430701362,0.0368738967117731
outer-product,0.01872463747825099,-0.5774674993650054,0.4204014467674031,-0.05960373088040236,-0.5774674993650051,0.005118882498647076,-0.5894369378861152,0.701450040520741,0.4204014467674028,-0.5894369378861151,0.11576533527599324,-0.6913846085647395,-0.05960373088040227,0.7014500405207409,-0.6913846085647396,0.039373666385041514
misspecification-robust,0.01869000913406467,-0.5719902039242031,0.3681651576356101,0.06457544650235034,-0.5719902039242034,0.004228909379493079,-0.511396109686189,0.5909206805013811,0.36816515763561114,-0.51139610968619,0.10613360169604787,-0.6303279155083351,0.06457544650234927,0.5909206805013817,-0.630327915508335,0.034719990843562094
autocorrelation-robust,0.019839233409491893,-0.6180958486344676,0.4508255016113402,-0.03799207621932784,-0.6180958486344679,0.004325455739080358,-0.5630817708231923,0.6412691983713615,0.45082550161134094,-0.5630817708231926,0.1118866922123866,-0.6185763512130253,-0.0379920762193294,0.6412691983713622,-0.6185763512130257,0.035707744243444736
sample-hessian,0.016913960175590576,-0.5456025990591531,0.37114833782928186,0.024624361089904512,-0.5456025990591531,0.004047799803519834,-0.5301299510575985,0.6443911539392313,0.3711483378292813,-0.5301299510575983,0.10765619878971555,-0.6491657297252923,0.024624361089905216,0.6443911539392306,-0.649165729725292,0.03532796221708219
outer-product,0.01664840382627437,-0.4857671555240249,0.3361887668281453,0.03494293343067841,-0.4857671555240246,0.004216975472821616,-0.5816760875631554,0.7066407320464365,0.3361887668281448,-0.581676087563155,0.11708682486706361,-0.6989372110955615,0.034942933430678925,0.7066407320464361,-0.6989372110955614,0.039999760828041304
misspecification-robust,0.01719962799498367,-0.6003087661639029,0.4047965180153889,0.015390247643182062,-0.6003087661639028,0.003936185955820006,-0.4825229552516858,0.5783419654879574,0.4047965180153878,-0.4825229552516852,0.09961507952107432,-0.5947872910286263,0.01539024764318379,0.5783419654879554,-0.594787291028625,0.031247984682336652
autocorrelation-robust,0.01774389402626246,-0.6402001914024829,0.4624826829135626,0.018220486406066754,-0.6402001914024826,0.0039079655294512045,-0.48791169058246514,0.5502884359116709,0.4624826829135613,-0.4879116905824645,0.10555568836373456,-0.53425051862993,0.018220486406068454,0.5502884359116688,-0.5342505186299288,0.031047535641789623
sample-hessian,0.017101233624265494,-0.6562471881733519,0.4326811904337723,-0.10978114036682216,-0.6562471881733517,0.004575978507338498,-0.5018959386112573,0.6171944049114738,0.4326811904337719,-0.501895938611257,0.10579194173387621,-0.6562909242463667,-0.1097811403668215,0.6171944049114734,-0.6562909242463664,0.033783547802881564
outer-product,0.01831098533587961,-0.7229547087795418,0.5506769461352821,-0.31393069161795156,-0.7229547087795419,0.0058502729432874725,-0.6021569932769297,0.7248642200787296,0.550676946135282,-0.6021569932769295,0.11848450257401942,-0.7242943457417715,-0.3139306916179516,0.7248642200787296,-0.7242943457417715,0.03807879760164934
misspecification-robust,0.01651812420674281,-0.6062439448917936,0.32144363830162603,0.0791563527999472,-0.6062439448917936,0.0036049391304391718,-0.39550403269193,0.4943194739456,0.3214436383016253,-0.3955040326919295,0.09639705146770158,-0.591734821402985,0.07915635279994841,0.49431947394559905,-0.5917348214029842,0.03102810590627195
autocorrelation-robust,0.016147523745904706,-0.6014511553433692,0.27653363827454785,0.16749465889493434,-0.6014511553433687,0.003594758671710621,-0.4027089623167745,0.4496402504417831,0.2765336382745464,-0.40270896231677394,0.08908297697960593,-0.5475789227822669,0.1674946588949361,0.4496402504417818,-0.547578922782266,0.029758600523864465
sample-hessian,0.015341322627106161,-0.6066676311563879,0.40595830087583956,-0.08716614638462569,-0.6066676311563882,0.004062627349250659,-0.4956726855327783,0.6293360212416066,0.40595830087584,-0.4956726855327786,0.10170684375314941,-0.6570649851754691,-0.08716614638462618,0.6293360212416071,-0.6570649851754692,0.03313599102970366
outer-product,0.015137718540760747,-0.5024148008381707,0.3104956227069945,-0.027362987631495132,-0.5024148008381712,0.004534266988954453,-0.569925769186365,0.7322881763228632,0.3104956227069948,-0.5699257691863647,0.11451853540812607,-0.724438702399159,-0.027362987631495278,0.7322881763228632,-0.7244387023991591,0.042073390480530534
misspecification-robust,0.015568798830936958,-0.687915906491376,0.4894680278311365,-0.14745908827993365,-0.6879159064913768,0.0037744388078412286,-0.44166486101302954,0.5160374275420241,0.48946802783113724,-0.4416648610130303,0.09284691633327691,-0.595027662729244,-0.14745908827993523,0.516037427542026,-0.5950276627292443,0.026415828594207623
autocorrelation-robust,0.015679803588619153,-0.7205247136121992,0.558080354219401,-0.17508638572343968,-0.7205247136121996,0.0038648785969074145,-0.3923357251682111,0.5284227547851249,0.5580803542194019,-0.39233572516821186,0.08886988191991475,-0.46198975114779295,-0.17508638572344074,0.5284227547851265,-0.4619897511477934,0.022652205406183065
sample-hessian,0.015222040332557198,-0.5589339181009405,0.3348992352202468,-0.006717543552514056,-0.5589339181009406,0.0038892395532817954,-0.49229547779336386,0.63335975616462,0.33489923522024684,-0.49229547779336374,0.1013367659655464,-0.649273879081917,-0.006717543552514232,0.6333597561646201,-0.6492738790819172,0.032959304595979885
outer-product,0.015341558287724617,-0.6008209236961267,0.40270270763390875,-0.11628043206019767,-0.6008209236961268,0.004284835439951493,-0.545281166794676,0.6714311250023136,0.4027027076339089,-0.545281166794676,0.11190987707423772,-0.7009443041624119,-0.11628043206019775,0.6714311250023136,-0.7009443041624118,0.03435673423162262
misspecification-robust,0.015230420250275593,-0.5204212016049886,0.2691441623766276,0.09621957307366157,-0.5204212016049887,0.0035462335871863098,-0.43470832973724055,0.5960270114959648,0.2691441623766277,-0.4347083297372407,0.09194577787310582,-0.5954146656736322,0.09621957307366101,0.5960270114959658,-0.5954146656736329,0.03196118755086434
autocorrelation-robust,0.015130024682505424,-0.49892149079621967,0.29369620191821594,0.08715175779746033,-0.49892149079621984,0.003552634636055181,-0.41137306844199817,0.6060717650713162,0.2936962019182161,-0.411373068441998,0.09175004944406842,-0.5557901516900262,0.08715175779746023,0.6060717650713167,-0.5557901516900269,0.031565451408882846
sample-hessian,0.016726146407363328,-0.6357005669738546,0.4194186322024783,-0.10952757421344513,-0.635700566973855,0.004558082633798775,-0.5175294178676183,0.6437616007359627,0.4194186322024784,-0.5175294178676179,0.10361668384562686,-0.6653090763731544,-0.1095275742134455,0.6437616007359626,-0.6653090763731547,0.03427860395134552
outer-product,0.016830698941166383,-0.6205417620991563,0.4165984707288961,-0.15831499025603943,-0.6205417620991566,0.005397239168861824,-0.5686792481064074,0.7138422085727867,0.41659847072889633,-0.5686792481064075,0.11936285265603937,-0.7287432298309787,-0.1583149902560398,0.7138422085727869,-0.7287432298309788,0.04001571418989882
misspecification-robust,0.01673264365937629,-0.6662403896302256,0.43629894735794383,-0.07804219947160138,-0.6662403896302267,0.003913539235785776,-0.47411388461405585,0.5685860392627099,0.4362989473579442,-0.47411388461405524,0.0909899129467176,-0.5956507035878161,-0.07804219947160204,0.5685860392627089,-0.5956507035878164,0.029885968472502536
autocorrelation-robust,0.016921026604449194,-0.6484471313432726,0.3798803678792041,0.06779060700725369,-0.6484471313432729,0.003919589178920345,-0.43250163103987566,0.5026642989531919,0.3798803678792039,-0.4325016310398746,0.08623801767132398,-0.5413968203261728,0.06779060700725341,0.5026642989531913,-0.5413968203261732,0.030969855727627234
