a,t0,v,z
0.633022080684865,0.4402681926689033,2.2600988244967564,0.036639672054981906
0.6828659430715107,0.43152694209035003,2.408066542056933,0.0270678438247042
0.6759081683087319,0.43359172085721165,2.3768154369968344,0.021042699374599273
0.6172007227836745,0.43508718053017476,2.26653103617839,-0.03095233544120114
0.620090139959525,0.43773980348104535,2.218981404002215,0.003688757880140987
0.6387113996534604,0.4371836648954381,2.2632780814980573,0.03469280060955998
0.6522217368332193,0.4378933337434496,2.296484315299103,0.009926934103801872
0.6443413074770493,0.43805841629535075,2.3956933553184263,0.018234013162453874
0.6631318205993075,0.43375602827203524,2.3013558760343904,0.03830065762184367
0.6371368796058302,0.44307956507302226,2.323564257318354,0.026093048701097157
0.6832579919196118,0.43225470929588333,2.4293180799649647,0.01202199945040142
0.6542107658016971,0.44021192849470275,2.432360921708306,0.026234253015578097
0.6604410436384225,0.4283274313940367,2.4746111776200648,-0.053483061385155226
0.644264843703089,0.4323041042883897,2.3403813509040186,-0.02943640079561839
0.6387049734529602,0.43935041806345454,2.16771390795291,0.045862541140886934
0.6594513363959769,0.4308324587031276,2.359122736035253,-0.024676266833529255
0.6333627463764226,0.4379349293026977,2.263679862674168,0.0014634227362054825
0.6788460642280055,0.42569889793460186,2.459263538668281,-0.03718722453862861
0.6616510775008905,0.4288960137778287,2.46060625976117,-0.03550540099112408
0.6904502283620021,0.4341539693745929,2.27482530479239,0.04100089008233507
0.6334730603409867,0.4417983897488877,2.2200147175052733,0.015793628669846266
0.6486125331176094,0.43248275545445125,2.329660996868233,0.017714523056986054
0.6511374404328502,0.43439922112574775,2.3782146565118163,-0.014650456414366558
0.6510608363386197,0.434170529403778,2.383850568418179,-0.056253146370865356
0.6300827123384793,0.43576765309410065,2.2452177628979824,0.007028248894143774
0.6411737683677281,0.43475460963801604,2.365028480963886,-0.01790664033443336
0.6404389497621343,0.43740611229674037,2.3924956078703645,-0.02644707750891043
0.6564153986986667,0.4313856297899224,2.2986731476471447,-0.0004893807155567279
0.6195912043119199,0.441358212454582,2.4258930401634036,-0.0032585728438484997
0.7388579506007504,0.4179800134318714,2.656497375432514,-0.054974385801972336
0.6547249492381949,0.43333299528658925,2.3158380720989475,0.015911092935840972
0.6661400441796949,0.4319508862839261,2.3377949810953136,0.015858500766541724
0.6368062263829365,0.4369763377103788,2.2368032631474413,0.02582326690097989
0.6512318766155721,0.43810180565468737,2.2615189606604837,0.019029136301292222
0.6802601234890483,0.4250520404252652,2.4248297403483385,-0.05781528384707405
0.6805063131562341,0.43379271669362585,2.3634413149650317,0.009140687585985654
0.6541173013605894,0.43468852008643194,2.383851427413417,-0.016276480041600306
0.6414412463731025,0.4402793629602323,2.3700355213047337,0.004859945637496771
0.6795309131691313,0.42783291551651154,2.3065222506954415,-0.03508338227996023
0.6456396955931628,0.44071421575468095,2.394370359221838,0.008695392078862559
0.6829428332739208,0.42774218523791685,2.653676126292913,-0.047463993545813016
0.6522756789338464,0.4347510142108455,2.3786132472327046,0.020831798795863655
0.6613457771281547,0.43283707349177,2.283482622144629,-0.0065562323803078975
0.6743839283016816,0.43278950231567076,2.2786346907910375,0.05023910059766883
