,a,a+,a-,beta_v,beta_v+,beta_v-,t0,t0+,t0-,z,z+,z-
200,0.8871787246851291,0.9370084482004476,0.8373490011698107,1.354902528324215,1.461916708378274,1.2478883482701562,0.3938759322798469,0.4354011810225372,0.3523506835371566,0.20195615350008003,0.23920878212561877,0.1647035248745413
220,0.9068316190607026,0.9372297519662922,0.8764334861551131,1.3989312596086867,1.5017362240453642,1.2961262951720092,0.4137317899389478,0.4220172007740085,0.40544637910388714,0.23889084632401514,0.26988243299228293,0.20789925965574735
240,0.9232672297088829,0.9614100418849232,0.8851244175328425,1.4025788085118776,1.5113047212504005,1.2938528957733546,0.4099584282355837,0.42680379613653097,0.39311306033463644,0.22496670876356303,0.25989127102411363,0.19004214650301243
260,0.9377034428148006,0.9733700977876788,0.9020367878419223,1.394435558998012,1.502570166884275,1.286300951111749,0.40675222355383805,0.4211508890566908,0.3923535580509853,0.2322121295235934,0.262781132663536,0.20164312638365087
280,0.9278650847991002,0.9674693483714832,0.8882608212267172,1.4814709812130533,1.5930499331407262,1.3698920292853805,0.4242265881456879,0.4464199638328481,0.40203321245852774,0.23015071629345377,0.2646505228925976,0.19565090969430993
300,0.9237252457796741,0.9560765740827808,0.8913739174765674,1.429777453540553,1.5447514853531685,1.3148034217279374,0.41537605106062936,0.4313841913130237,0.399367910808235,0.24238823150769195,0.27083552325073995,0.21394093976464396
320,0.9341117478091041,0.96934873641417,0.8988747592040383,1.406173820097044,1.5216411285539113,1.2907065116401766,0.42062898965338685,0.4372081987440232,0.4040497805627505,0.21603633229930827,0.2488511804359309,0.18322148416268563
340,0.917669343344147,0.9531076936221149,0.882230993066179,1.420321528810327,1.5379812060359808,1.3026618515846733,0.418287062466235,0.4285480726970636,0.4080260522354064,0.24550982728005416,0.28091541656739294,0.21010423799271538
360,0.9199593949358736,0.9556708209686929,0.8842479689030543,1.3331902668218716,1.4387542693295248,1.2276262643142184,0.41794095649488966,0.4301884934941228,0.4056934194956565,0.19608555336733077,0.23510009814940716,0.15707100858525438
380,0.9222819467832531,0.9575693406131436,0.8869945529533627,1.34148592487805,1.4620408713294135,1.2209309784266864,0.4104366870829604,0.4223870740371294,0.3984863001287914,0.23272549071803225,0.2641119319416403,0.20133904949442424
400,0.9148353920770675,0.9562303976467489,0.8734403865073862,1.3100768684110298,1.4314663863780757,1.1886873504439839,0.4056925189095768,0.4341115147973501,0.3772735230218035,0.2224226597112597,0.26904569862413047,0.17579962079838896
420,0.9215704302767557,0.9564939874761225,0.8866468730773889,1.2793869109295197,1.3974952327030379,1.1612785891560016,0.4190735321146268,0.430313285237079,0.40783377899217454,0.22990112517578165,0.2663045146493849,0.19349773570217838
440,0.8844339587606842,0.9141269027593345,0.8547410147620339,1.3503738265394556,1.4750003162649692,1.225747336813942,0.4308729089973078,0.44446430375831697,0.4172815142362986,0.21702149512764843,0.2652272126277236,0.16881577762757327
460,0.9101961840282993,0.9515279548427577,0.8688644132138409,1.331545974948544,1.463847357225717,1.1992445926713713,0.4290183447064358,0.448179157376397,0.40985753203647457,0.2297659748710655,0.26401846612735536,0.19551348361477566
480,0.9300079653451047,0.9730784594474174,0.8869374712427919,1.3780646106534569,1.5229114559591128,1.233217765347801,0.4036497817928117,0.42072335227105484,0.38657621131456854,0.21034752195474746,0.25777783351965544,0.16291721038983947
500,0.8682649221025378,0.9049924032172204,0.8315374409878552,1.1942794637837153,1.3271094196214428,1.0614495079459878,0.4392579962669689,0.4550323390466175,0.42348365348732026,0.1991310254875881,0.24301917709597778,0.1552428738791984
