,a,a+,a-,t0,t0+,t0-,beta_v,beta_v+,beta_v-,z,z+,z-
1,0.9185445595473336,1.0119698092350502,0.8251193098596169,0.38213232953374393,0.3945892122946481,0.36967544677283976,1.1310046825539941,1.3622458760578173,0.8997634890501709,0.4558767319492216,0.5566780494824055,0.35507541441603774
3,0.8639851416319044,0.8987611405075564,0.8292091427562525,0.4173803555894322,0.4378122566803417,0.39694845449852273,0.9173598647978483,1.054415831647994,0.7803038979477026,0.32842324045761445,0.36468528972429176,0.29216119119093714
4,0.9100271150028154,0.9448918775446665,0.8751623524609643,0.4231925658722259,0.43625722375143894,0.4101279079930129,1.018097046013097,1.145356414867732,0.890837677158462,0.25782875882807055,0.29038911185189054,0.2252684058042506
6,0.7978264312999823,0.8228067516360181,0.7728461109639465,0.436744396383205,0.4442927500959412,0.4291960426704688,0.6174507167104,0.766988633435598,0.46791279998520197,0.3195678161978143,0.35860619515421527,0.2805294372414134
7,0.8812650835717232,0.9284634172398465,0.8340667499035999,0.4347974595663471,0.4802418964590426,0.38935302267365157,0.616049783554635,0.7215486211714436,0.5105509459378265,0.24813370326072265,0.28965994221060437,0.20660746431084093
8,0.8707026405426403,0.9005317059784855,0.8408735751067952,0.45509523301033444,0.46782631916744705,0.44236414685322184,0.8492043294503773,0.9480577606274956,0.750350898273259,0.21015392249498266,0.24996750095436843,0.1703403440355969
9,0.9080172701881803,0.9598840086412421,0.8561505317351186,0.4496811073768691,0.48592326893121107,0.41343894582252716,1.059419247680785,1.1777443840808668,0.9410941112807034,0.21152616556441697,0.25404044649334134,0.16901188463549258
10,0.9003395506989056,0.9487552531449595,0.8519238482528517,0.48119178462485396,0.5070343380189624,0.4553492312307455,1.0646390628884255,1.2267718092081885,0.9025063165686624,0.17434156664223519,0.2556961822536768,0.09298695103079359
11,0.8573118183289904,0.8992963483919972,0.8153272882659836,0.4541706159117899,0.4685648468192993,0.43977638500428057,1.0985854228381537,1.2679435119788884,0.9292273336974191,0.3142676301569759,0.3819482950279547,0.24658696528599713
12,0.8752953244434309,0.9330619033052547,0.8175287455816072,0.45333272364713323,0.4699060214183046,0.43675942587596184,1.2186131508183753,1.4413813730918017,0.9958449285449489,0.28579275522195463,0.35375115465681745,0.21783435578709182
13,0.8668107859008892,0.9169004597511924,0.8167211120505861,0.3967955829583628,0.4197507371388775,0.3738404287778481,0.8166328639687941,0.9795528067469514,0.6537129211906367,0.1871646273392705,0.26218048922930154,0.11214876544923945
