trialDate,RT,correct,dotDirection,proposedReward
2008-12-03 11:18:10.626998616,0.5893486471613869,1,0.0,80
2008-12-03 11:18:57.017996233,0.5278850205359049,1,0.0,150
2008-12-03 11:19:01.627003629,0.847805782512296,1,3.141592653589793,150
2008-12-03 11:19:05.408003035,0.448246039042715,1,0.0,150
2008-12-03 11:19:40.877001952,0.6770784580148757,0,3.141592653589793,20
2008-12-03 11:19:56.502002703,0.40757521614432335,0,3.141592653589793,20
2008-12-03 11:19:59.220998209,0.6992354040266946,0,0.0,20
2008-12-03 11:20:06.720001995,0.3880845667445101,1,0.0,80
2008-12-03 11:20:10.439002144,0.788647944049444,1,3.141592653589793,150
2008-12-03 11:20:13.799002024,0.8380636116489768,0,0.0,20
2008-12-03 11:20:39.939003061,0.6381617947481573,1,0.0,80
2008-12-03 11:21:03.861001653,0.39971462317043915,0,3.141592653589793,20
2008-12-03 11:21:06.954004391,0.6679098119493574,1,3.141592653589793,80
2008-12-03 11:21:10.923003181,1.2172601841157302,1,3.141592653589793,150
2008-12-03 11:21:14.547998609,1.277339422085788,1,3.141592653589793,150
2008-12-03 11:21:19.017004740,0.8378903080592863,1,3.141592653589793,150
2008-12-03 11:21:24.844995659,0.7178029550123028,1,3.141592653589793,150
2008-12-03 11:21:35.891998709,0.6282786154770292,1,3.141592653589793,150
2008-12-03 11:21:42.892000971,0.5481084018829279,1,0.0,150
2008-12-03 11:21:45.892004814,0.507652564032469,0,3.141592653589793,20
2008-12-03 11:22:04.281997607,0.7266931543126702,1,3.141592653589793,80
2008-12-03 11:22:07.437995371,1.1776468527968973,1,3.141592653589793,150
2008-12-03 11:22:26.234996617,0.5390249751508236,1,0.0,150
2008-12-03 11:22:42.719004969,0.5380274201743305,0,3.141592653589793,20
2008-12-03 11:22:45.954000500,0.9777131982264109,1,3.141592653589793,80
2008-12-03 11:22:50.548000932,0.8273151781759225,0,0.0,20
2008-12-03 11:22:55.610003251,0.4287174994824454,1,0.0,80
2008-12-03 11:23:02.171997430,0.5086171414004639,1,0.0,150
2008-12-03 11:23:05.219003633,0.4172780942171812,1,0.0,150
2008-12-03 11:23:08.344001768,0.4179699510568753,1,0.0,150
2008-12-03 11:23:12.375995593,0.44861060881521553,1,0.0,150
2008-12-03 11:23:16.515995259,0.4480102600646205,0,3.141592653589793,20
2008-12-03 11:23:22.766001596,0.5080480753094889,0,3.141592653589793,20
2008-12-03 11:23:44.735003338,1.0787965537165292,1,3.141592653589793,80
2008-12-03 11:23:54.328000989,0.578584426199086,1,3.141592653589793,150
2008-12-03 11:24:00.109995382,0.748587291163858,1,0.0,150
2008-12-03 11:24:05.297002050,0.7582630154211074,1,0.0,150
2008-12-03 11:24:11.672002670,1.1480321001727134,1,3.141592653589793,150
2008-12-03 11:24:18.218999952,1.0581342770601623,1,0.0,150
2008-12-03 11:24:22.765998024,0.43826579791493714,1,0.0,150
2008-12-03 11:24:29.031001257,1.2879806236014701,1,3.141592653589793,150
2008-12-03 11:24:33.078002037,0.4686525340657681,1,0.0,150
2008-12-03 11:24:41.672000888,1.862595668702852,1,3.141592653589793,150
2008-12-03 11:24:53.016004932,0.5787005606107414,1,0.0,150
2008-12-03 11:25:07.077998665,0.4686624341411516,1,0.0,150
2008-12-03 11:25:10.421995814,0.8882913168054074,1,0.0,150
2008-12-03 11:25:20.389996464,1.8575282582896762,1,3.141592653589793,150
2008-12-03 11:25:38.592995707,0.6384048337931745,1,3.141592653589793,150
2008-12-03 11:25:43.452997504,0.4187172445235774,0,3.141592653589793,20
2008-12-03 11:25:53.484003246,1.6479230645345524,1,3.141592653589793,80
2008-12-03 11:26:01.203001814,0.4987099432037212,0,3.141592653589793,20
2008-12-03 11:27:11.249000873,0.5094220163300633,0,3.141592653589793,20
2008-12-03 11:27:31.092999056,1.0481320083490573,1,3.141592653589793,80
2008-12-03 11:27:35.513997001,7.892528588301502,1,3.141592653589793,150
2008-12-03 11:28:09.060998707,1.1681947386823595,1,3.141592653589793,150
2008-12-03 11:28:24.592004794,0.6071913636988029,1,0.0,150
2008-12-03 11:28:27.905002314,0.4286459152936004,0,3.141592653589793,20
2008-12-03 11:28:31.358001080,1.1187259970465675,1,3.141592653589793,80
2008-12-03 11:28:41.311004833,4.185561487218365,1,0.0,150
2008-12-03 11:30:21.669995787,0.5585612960276194,1,0.0,150
2008-12-03 11:31:02.825998665,0.9392213863902725,1,0.0,150
2008-12-03 11:31:32.107000578,3.0367268857662566,1,0.0,150
2008-12-03 11:31:52.732004373,0.6187610485358164,1,0.0,150
2008-12-03 11:31:59.372000541,0.5887017156346701,1,0.0,150
2008-12-03 11:32:05.216004248,0.4787671760423109,0,3.141592653589793,20
2008-12-03 11:32:18.371998069,0.4959294432774186,0,3.141592653589793,20
2008-12-03 11:32:50.825000477,2.0069665572955273,1,3.141592653589793,80
2008-12-03 11:33:46.574999835,0.4789671910693869,1,0.0,150
2008-12-03 11:34:39.934004318,0.9184730879496783,1,0.0,150
2008-12-03 11:34:47.496003139,0.6089286933420226,1,0.0,150
2008-12-03 11:34:52.730002102,1.5880710817291401,1,3.141592653589793,150
2008-12-03 11:34:58.137003552,0.698887491831556,0,0.0,20
2008-12-03 11:35:05.152002720,0.9585424858960323,1,0.0,80
2008-12-03 11:35:12.340004366,1.4684595991275273,1,3.141592653589793,150
2008-12-03 11:36:43.714000802,0.608944192121271,1,3.141592653589793,150
2008-12-03 11:36:49.276996182,0.7288640429032966,1,0.0,150
2008-12-03 11:36:55.104997158,0.4890404589823447,0,3.141592653589793,20
2008-12-03 11:37:04.713997540,1.7380273113958538,1,3.141592653589793,80
2008-12-03 11:47:16.054002867,1.0884724129573442,1,0.0,150
2008-12-03 11:47:21.882003843,1.3283266495564021,1,3.141592653589793,150
2008-12-03 11:47:34.725999756,0.8089196332148276,1,3.141592653589793,150
2008-12-03 11:47:55.444002446,2.116961809748318,1,3.141592653589793,150
2008-12-03 11:48:03.210003374,1.2184762342367321,1,3.141592653589793,150
2008-12-03 11:48:08.522004335,1.017687761806883,1,0.0,150
