,n,method,estimate,param,runtime,bias,sd,rmse
0,500,mle,param,a,1.2047994470596313,0.00440197779902842,0.02361797494873399,0.0240246987332238
1,500,mle,param,t0,1.2047994470596313,0.0005294864143051775,0.005405061887168338,0.005430934529807326
2,500,mle,param,v,1.2047994470596313,-0.005126383957139225,0.13029667281869622,0.13039747988400083
3,500,mle,param,z,1.2047994470596313,0.0038518455419294805,0.0400320460933049,0.04021692962541234
4,500,mle,unc,a,1.2047994470596313,-0.003001298110103194,0.0019634686786966817,0.003586502418503561
5,500,mle,unc,t0,1.2047994470596313,-9.316000036402262e-05,0.0005520626386271562,0.0005598677903182168
6,500,mle,unc,v,1.2047994470596313,0.005167353808774523,0.004550618942772187,0.006885468622205291
7,500,mle,unc,z,1.2047994470596313,0.00465041521811888,0.0023964264150876805,0.005231560117578854
8,500,mcmc,param,a,46.132332403659824,0.008350000000000003,0.025032129354092127,0.02638806548422981
9,500,mcmc,param,t0,46.132332403659824,-0.0009000000000000008,0.005691221310052885,0.005761944116355178
10,500,mcmc,param,v,46.132332403659824,0.05020000000000004,0.13614808114696292,0.1451080287234307
11,500,mcmc,param,z,46.132332403659824,-0.00638,0.03983435200928972,0.040342037628260705
12,500,mcmc,unc,a,46.132332403659824,-0.0035321293540921343,0.002286919325205855,0.00420784241316607
13,500,mcmc,unc,t0,46.132332403659824,-5.122131005288494e-05,0.0006711184694225005,0.0006730702954398849
14,500,mcmc,unc,v,46.132332403659824,0.0061919188530370735,0.006176115283898116,0.008745527947619628
15,500,mcmc,unc,z,46.132332403659824,0.006465647990710287,0.0030116440692751207,0.007132643544982176
16,1000,mle,param,a,2.55412713766098,0.0033426070267379114,0.014776883117722303,0.015150224302300744
17,1000,mle,param,t0,2.55412713766098,-0.00014127903962791622,0.0037836487310484294,0.0037862854471107407
18,1000,mle,param,v,2.55412713766098,0.020549588378803708,0.10053472915116617,0.10261343648877866
19,1000,mle,param,z,2.55412713766098,-0.00029505862724606694,0.032394106550016386,0.032395450278817337
20,1000,mle,unc,a,2.55412713766098,-0.00025460936625944745,0.0007931815637703996,0.0008330443700621799
21,1000,mle,unc,t0,2.55412713766098,-6.753546970063752e-05,0.00023750765331312523,0.00024692291317330884
22,1000,mle,unc,v,2.55412713766098,-0.004797056066986174,0.00230677901891526,0.005322872941552947
23,1000,mle,unc,z,2.55412713766098,-0.0010522852322414158,0.0011155440151763905,0.0015335392592917966
24,1000,mcmc,param,a,77.73576455116272,0.005370000000000005,0.015552269930785035,0.01645326715275725
25,1000,mcmc,param,t0,77.73576455116272,-0.0009800000000000008,0.003901230575087817,0.004022437072223757
26,1000,mcmc,param,v,77.73576455116272,0.08142000000000006,0.10191615966077217,0.13044585083474292
27,1000,mcmc,param,z,77.73576455116272,-0.010580000000000004,0.031794710251864255,0.0335088048130637
28,1000,mcmc,unc,a,77.73576455116272,-0.00043226993078503384,0.0009516301802696258,0.0010452068183191769
29,1000,mcmc,unc,t0,77.73576455116272,8.876942491218315e-05,0.00026438608132804594,0.00027889067893932854
30,1000,mcmc,unc,v,77.73576455116272,-0.0008961596607721646,0.0030788959060026664,0.003206665267469505
31,1000,mcmc,unc,z,77.73576455116272,0.0009452897481357456,0.001712425180847327,0.001956009383395321
32,5000,mle,param,a,34.32491495609283,0.0004580606365818241,0.0068195609800274035,0.006834927322737096
33,5000,mle,param,t0,34.32491495609283,9.110499799931337e-05,0.0016082165589858548,0.0016107950276980489
34,5000,mle,param,v,34.32491495609283,-0.0019483874962735869,0.04075235238002132,0.04079890241588693
35,5000,mle,param,z,34.32491495609283,0.0005696643864931276,0.012895732771141977,0.012908308999165763
36,5000,mle,unc,a,34.32491495609283,-0.0004484631030482186,0.0001635489482757976,0.00047735459909563745
37,5000,mle,unc,t0,34.32491495609283,2.7308685509744076e-05,5.157665615488629e-05,5.836022416329015e-05
38,5000,mle,unc,v,34.32491495609283,0.0018378063748091388,0.0004539258731201841,0.0018930348569366152
39,5000,mle,unc,z,34.32491495609283,0.001046903684743699,0.00023475929653007544,0.0010729022567024598
