,a,a+,a-,t0,t0+,t0-,beta_v,beta_v+,beta_v-,z,z+,z-
280,0.9474702346449937,0.995328937268836,0.8996115320211514,0.4165586811913206,0.44583457108486785,0.3872827912977734,1.6089461556281033,1.7365184527059667,1.4813738585502398,0.20365561612745053,0.2636952258773907,0.14361600637751035
300,0.9301369510805351,0.9773086436268407,0.8829652585342295,0.4277952012396591,0.4509139628931987,0.4046764395861195,1.580911586048734,1.706009803762489,1.455813368334979,0.2354450106669683,0.2691559392040388,0.2017340821298978
320,0.9768551762439576,1.0225817877294436,0.9311285647584715,0.411262972158538,0.4346411956543481,0.38788474866272793,1.5657904035543806,1.6985222661468276,1.4330585409619336,0.19232092152641223,0.2364263651007181,0.14821547795210635
340,0.9633515118627596,1.010771972742827,0.9159310509826921,0.4223938719393513,0.4368157300535144,0.4079720138251882,1.6197037115478605,1.7525276645833887,1.4868797585123323,0.24295318126181153,0.2844410507738482,0.20146531174977492
360,0.945413294537316,0.9905216923138321,0.9003048967607999,0.43013061675650627,0.4433429963991352,0.4169182371138773,1.5167736741289688,1.640908831820741,1.3926385164371966,0.20400541145777093,0.24931205215084093,0.15869877076470093
380,0.9267587081955508,0.9696256406748854,0.8838917757162162,0.4341815472813714,0.4460776736548481,0.4222854209078948,1.5409819236828235,1.6812554454327513,1.4007084019328957,0.21582891372931876,0.25431024696022236,0.17734758049841515
400,0.9082695909328182,0.9541570197074217,0.8623821621582147,0.4216262734982008,0.43819804636950027,0.40505450062690135,1.4536613001035341,1.5906854018323635,1.3166371983747047,0.21835515130912206,0.2760125469728292,0.16069775564541494
420,0.9362840001111885,0.9798610835481754,0.8927069166742017,0.4353019271030233,0.44796865512706735,0.42263519907897923,1.4705580810363328,1.611558393701439,1.3295577683712265,0.2473930303317164,0.29538517696475197,0.1994008836986808
440,0.9129357058859451,0.9538567545886005,0.8720146571832896,0.4362920785819716,0.45304918374744296,0.41953497341650026,1.543302104561366,1.703598232456076,1.383005976666656,0.22650841067270147,0.2850982170537101,0.16791860429169286
460,0.9340302330256544,0.9845987285080476,0.8834617375432611,0.434849704705075,0.45024017430529095,0.41945923510485905,1.6143590979198055,1.7760882227939017,1.4526299730457093,0.24091143866192813,0.2841335469312785,0.19768933039257774
480,1.023341329000673,1.0926601305491825,0.9540225274521633,0.40932657197845257,0.43446203968301284,0.3841911042738923,1.7799247523991217,1.9826413944478456,1.5772081103503979,0.25004481453461586,0.3163225283941718,0.1837671006750599
500,0.9003928689268035,0.9480695953123014,0.8527161425413056,0.4375402741551528,0.45497677386553936,0.4201037744447662,1.3951632780575909,1.5496094958241713,1.2407170602910105,0.17246917734186532,0.22531833787523586,0.11962001680849477
