a,t0,v,z
0.5864248862081537,0.43894482346489916,1.4281217410616094,0.08651025153866822
0.572254146050242,0.4394387810406351,1.4511053068148239,0.10183579728792333
0.5729827790424239,0.43901811505903565,1.4473476434853354,0.10652105631692844
0.5736566460442897,0.4362026823912479,1.546299430314881,0.08201117575920487
0.5757287271293561,0.43418039726939445,1.6355381461607539,0.03863376052857054
0.5926455344520754,0.4354101116691355,1.5228215768417577,0.08389775065829566
0.5623504208199289,0.44083826154623595,1.5298439357484084,0.10786486912980504
0.5819000779041805,0.43726315885951833,1.585873328970473,0.07873449610258394
0.5815601655888557,0.4357348232721066,1.6284004197553184,0.033504610528180226
0.5740677949974679,0.441238772064451,1.5198188600861384,0.09485014306405216
0.5777660197895443,0.4419090073804564,1.6411802237725979,0.10746788371698678
0.5641373099967487,0.43632130256762114,1.3529868367937061,0.09293551323591583
0.5644456102980361,0.4398191298991939,1.4663593250542468,0.08045282650321478
0.5889120664530815,0.440542482416583,1.4202325833554799,0.14608951652825444
0.5846968879214839,0.43592409103662355,1.5408628340822785,0.07865151348893815
0.5823626780166464,0.43615950862359154,1.4937310045520305,0.09184229308832997
0.5629452802348964,0.4391009494700762,1.4627709320524225,0.07077911734781595
0.5826659391596358,0.43856282456310497,1.5388685440904772,0.12269301098368995
0.5791783485985087,0.435379199343605,1.5220711461647674,0.09897573974220517
0.5828431358902284,0.4390208121088265,1.6511563148559139,0.09118975656142236
0.5624723913192957,0.4432364318168157,1.5305920617748427,0.08025971532580187
0.5649489288234495,0.4404677853180058,1.5469358992228524,0.080871068722899
0.567941291425091,0.4378895656418611,1.497625065725175,0.10068813891483099
0.5730353905482778,0.4406943224362581,1.383210013201704,0.12281256343499777
0.5789944497902767,0.4352214437303629,1.5897645388779387,0.06632498522520568
0.5869274789811763,0.4366428093603981,1.4987489720026448,0.13322634966571312
0.5789877440437774,0.4321984309455918,1.5685382314222727,0.04219042504953235
0.5751208812413439,0.43683344976968574,1.3194219408955346,0.09601348328673705
0.5895104117635676,0.4347084695767876,1.6274275081595875,0.08774922594218962
0.5826121971178173,0.43655524390808514,1.4389579466136138,0.10657805474502782
0.5789577498786557,0.4374293980624139,1.4903983477841414,0.08771780070965131
0.5920477613107329,0.4376456998802979,1.640991997775837,0.06989242468453477
0.5754753369282316,0.433102225487044,1.5793779637710257,0.06555284902891763
0.5749702542339596,0.4377489596836073,1.6139272728656375,0.08322299093626197
0.5760880538746426,0.44195267363150526,1.3752502709079581,0.14040079996049729
0.5552646749890002,0.44067616424702793,1.429147730588408,0.10750812546213896
0.5781649750725883,0.4369604940106105,1.4953146555425259,0.09374525588976287
0.5989804369180571,0.4410372022929242,1.4048581079464681,0.1466983105020922
0.5798789262976519,0.44406487107165415,1.3377876140059277,0.17394371658953967
0.5707863269906612,0.43533898670347554,1.5440939597879022,0.07227144584200411
0.5744726044651056,0.43843713384127375,1.495538431993344,0.0944892833780394
0.5869901043843474,0.441115229946443,1.4914807474364358,0.12782034646240736
0.5736133134342932,0.4421152543153867,1.468488212621042,0.1062463944716228
0.5657999588768321,0.4336097156949289,1.5827624298901597,0.02292534577950172
0.568413253756122,0.4407088210776866,1.425299123110097,0.11241333199040188
0.5824432037168217,0.43435497749588126,1.5659469645066415,0.07101710226546816
0.607971312487363,0.43563905086607346,1.5282202225345338,0.11045358252676205
0.5662006654407131,0.4419309076812847,1.493918974459002,0.06987034630587485
0.5946874520555191,0.42656909685318917,1.618794529491362,0.02021814190716271
0.5835004802179754,0.43974633991153006,1.4687665256346925,0.08954989151340931
0.5914573475301909,0.4309147626215605,1.638992243012907,0.05310409898841119
0.5783248278372419,0.4364941651851976,1.6699393698993907,0.05455321182737343
0.5874100390960696,0.43737129432695787,1.433272052281102,0.11619176093167566
0.5785039684787336,0.4344941432579602,1.5272322945219965,0.07321098237048823
0.5843994298522488,0.43600308706335933,1.6338546112896646,0.08507208767211948
0.5562379514873586,0.43447166995811004,1.6770195408383786,0.0358348895743664
0.5698130461935333,0.4375311314826677,1.616880408886476,0.06230288758510865
0.5750325524754724,0.4383104451169553,1.5992828396363865,0.0648816114062026
0.5774613949746277,0.431583796223954,1.5771709863915864,0.0418569519723633
