estimator,"a,a","a,t0","a,v","a,z","t0,a","t0,t0","t0,v","t0,z","v,a","v,t0","v,v","v,z","z,a","z,t0","z,v","z,z"
misspecification-robust,0.0137087484058605,-0.6325414772231638,0.44074516236282363,-0.11988964013295703,-0.632541477223165,0.0033326779535955394,-0.4771382844333943,0.5738982729529919,0.44074516236282385,-0.4771382844333936,0.09666323524059922,-0.6418098135245067,-0.11988964013295814,0.5738982729529915,-0.6418098135245073,0.028600946167982224
autocorrelation-robust,0.013969899176757058,-0.5734668162571653,0.45511259425271017,0.028489460697101694,-0.5734668162571656,0.003149751147841582,-0.4412560856786546,0.4952575972949377,0.4551125942527102,-0.4412560856786543,0.09273521229058908,-0.5731375926433474,0.02848946069710121,0.4952575972949379,-0.5731375926433482,0.02814663256195367
sample-hessian,0.013475178436915978,-0.5585112874613497,0.3383106201462809,-0.012742640967459326,-0.5585112874613493,0.003328197837493327,-0.4555635508700484,0.6026714267186907,0.3383106201462805,-0.4555635508700482,0.0966523286904285,-0.6340881876279436,-0.01274264096745871,0.6026714267186901,-0.6340881876279435,0.030785509852589734
outer-product,0.013742983957739315,-0.5759049739734783,0.3595224455172327,-0.05631038945162061,-0.5759049739734782,0.003525241733918215,-0.48949555395148986,0.6426087217695207,0.3595224455172327,-0.48949555395148986,0.09665434414158502,-0.6456308299504775,-0.0563103894516207,0.6426087217695207,-0.6456308299504775,0.031995786579670844
misspecification-robust,0.013229409543247419,-0.5416370692598982,0.3188846583258119,0.02937730268684453,-0.5416370692598974,0.003145467239618037,-0.42213597157515037,0.5598147178142368,0.3188846583258111,-0.42213597157515004,0.09688752530329282,-0.6245254106274439,0.029377302686845807,0.5598147178142352,-0.6245254106274432,0.02969836392467611
autocorrelation-robust,0.013948834709259273,-0.6158712028670148,0.37428204496683143,0.0021747483570411603,-0.615871202867014,0.003166198120805529,-0.500662836933563,0.5357328392007082,0.3742820449668306,-0.5006628369335623,0.08796928951797196,-0.6404903244519745,0.002174748357042283,0.5357328392007071,-0.6404903244519745,0.02820655248777058
sample-hessian,0.013702027112185147,-0.6076696994382756,0.37324379865836615,-0.06898102335550074,-0.6076696994382753,0.0035733233780072477,-0.4357239090767037,0.5763499501186661,0.373243798658366,-0.4357239090767035,0.0951582289149575,-0.6351964873288447,-0.06898102335550052,0.5763499501186659,-0.6351964873288449,0.03031039631931024
outer-product,0.01442611138874745,-0.6169803626103859,0.3008869132771796,-0.019066692685993293,-0.6169803626103861,0.0038070110859523996,-0.3982486469471755,0.5669594862395623,0.30088691327717965,-0.3982486469471755,0.08977570462602481,-0.6095632311432749,-0.019066692685993265,0.5669594862395623,-0.609563231143275,0.030732783332150546
misspecification-robust,0.013132251763729003,-0.6030646915242689,0.4466338169872609,-0.1292827512523481,-0.603064691524268,0.0033720976800240866,-0.4760138638401544,0.5883320411101252,0.4466338169872603,-0.4760138638401538,0.10102612813739817,-0.6632474978844871,-0.1292827512523474,0.5883320411101242,-0.6632474978844873,0.03008377194718291
autocorrelation-robust,0.013618214331346787,-0.6562290309689152,0.5309171488533827,-0.24444056530957456,-0.6562290309689143,0.0034902830486178726,-0.5348815217501647,0.6269779017756653,0.5309171488533824,-0.5348815217501642,0.09920626954381077,-0.6978278330927579,-0.24444056530957445,0.626977901775665,-0.6978278330927583,0.03077790248927426
sample-hessian,0.014413516252271531,-0.6316708980886039,0.3898712763780082,-0.10361046753759416,-0.6316708980886039,0.004019705560913026,-0.44983205013968053,0.5931704548182141,0.38987127637800784,-0.4498320501396802,0.09162559628039896,-0.6366883593864656,-0.10361046753759386,0.5931704548182137,-0.6366883593864655,0.0302250727850442
outer-product,0.015000944082351083,-0.6664705774488516,0.41323352759838766,-0.16457013005167878,-0.6664705774488517,0.0046203619618513415,-0.46264147056862537,0.6171386033208353,0.41323352759838783,-0.46264147056862537,0.0927501018102576,-0.649417291680877,-0.16457013005167906,0.6171386033208355,-0.649417291680877,0.030864092728664916
misspecification-robust,0.013970119957289983,-0.6018322673195603,0.37128354733914654,-0.053020758626168875,-0.6018322673195601,0.003514738159805678,-0.44455826926303693,0.5774350260213212,0.371283547339146,-0.4445582692630366,0.0907941113995975,-0.6263768765283912,-0.053020758626167994,0.5774350260213204,-0.6263768765283908,0.029807613019523425
autocorrelation-robust,0.013108380391676288,-0.5390693033220901,0.29561958694458296,0.008429968031819998,-0.53906930332209,0.003491994026472299,-0.4896649410022288,0.6216134869983232,0.2956195869445822,-0.4896649410022283,0.08833798192589096,-0.6751272821073233,0.008429968031820691,0.6216134869983223,-0.6751272821073229,0.032148165989075064
sample-hessian,0.01456739226527147,-0.5314228788624914,0.3341944131026958,0.026752497526859605,-0.5314228788624911,0.003487894148503379,-0.48812668506391876,0.6258777802619153,0.3341944131026955,-0.4881266850639189,0.09922290092423641,-0.6404595203357669,0.026752497526860233,0.625877780261915,-0.6404595203357668,0.032514080278897545
outer-product,0.014721418498291922,-0.49710386017697283,0.2936881432157886,0.05742483458825803,-0.49710386017697245,0.0036039905594164438,-0.5010668467506046,0.6593463800304887,0.2936881432157884,-0.5010668467506046,0.09805225682326386,-0.6449585891715566,0.05742483458825828,0.6593463800304886,-0.6449585891715564,0.034611048177687134
misspecification-robust,0.014434410509500974,-0.5636036591092793,0.3728188988464841,-0.005315137248992382,-0.5636036591092785,0.0033879939023088454,-0.47761542970502957,0.591028646230447,0.37281889884648334,-0.4776154297050301,0.1006643291786635,-0.639765924235509,-0.005315137248991278,0.5910286462304468,-0.6397659242355085,0.03062786025026478
autocorrelation-robust,0.015066955885342615,-0.5800409486954703,0.3245523511101692,-0.025793200351253463,-0.5800409486954698,0.003427781800421067,-0.45593632206227186,0.5947849321966262,0.32455235111016884,-0.455936322062272,0.10837854679281912,-0.6826666982409603,-0.02579320035125234,0.5947849321966252,-0.6826666982409598,0.03083297236265644
sample-hessian,0.013878755424301921,-0.48145914581546917,0.2866296910249289,0.09795335835070552,-0.4814591458154691,0.003147750540235495,-0.4299653912868761,0.5730138778842586,0.28662969102492897,-0.4299653912868761,0.09239066884723504,-0.6163753129366653,0.09795335835070547,0.5730138778842586,-0.6163753129366653,0.030353856083829827
outer-product,0.01346079794516713,-0.36948139450823436,0.2147032513362445,0.19678646064787333,-0.3694813945082342,0.00239383921768494,-0.4733801892703642,0.6052444284946266,0.21470325133624454,-0.4733801892703643,0.09561728949979052,-0.642271151648349,0.19678646064787333,0.6052444284946266,-0.6422711516483489,0.03245944946606522
misspecification-robust,0.014914277216981775,-0.6067479461244708,0.3773638114302575,-0.0646911702732725,-0.6067479461244704,0.004317295807618367,-0.44198009391280474,0.6111971597315686,0.3773638114302572,-0.44198009391280496,0.09082314693661883,-0.6060627217892129,-0.06469117027327254,0.611197159731569,-0.6060627217892127,0.02937318698810646
autocorrelation-robust,0.013606899835936107,-0.5624652965664189,0.4237423929380682,-0.1354223570327519,-0.5624652965664189,0.004382254736502083,-0.5176407381795812,0.6991955069306403,0.4237423929380682,-0.5176407381795814,0.08994230320773527,-0.589031472177374,-0.13542235703275202,0.6991955069306405,-0.5890314721773742,0.030051229459367366
sample-hessian,0.014991215248972319,-0.5891380345777075,0.3594211836948396,-0.009511506056722753,-0.5891380345777076,0.003798139055796132,-0.44738314531069917,0.5766733071694615,0.35942118369483955,-0.44738314531069934,0.09354730639794762,-0.6221770426749089,-0.009511506056722779,0.5766733071694617,-0.6221770426749089,0.030582526911856943
outer-product,0.015501094772420744,-0.6797173514879494,0.454774372814003,-0.10098203252105317,-0.6797173514879495,0.00382026373447879,-0.45080476161811256,0.5097662195885346,0.4547743728140034,-0.4508047616181126,0.09293660438491458,-0.611941697138648,-0.10098203252105338,0.5097662195885347,-0.6119416971386481,0.027135065033043058
misspecification-robust,0.014608563522586262,-0.4752159384287031,0.2487191367584969,0.0868187942444463,-0.475215938428703,0.003848519253868872,-0.4566781588921658,0.6462276753531176,0.24871913675849627,-0.4566781588921661,0.09522838553488933,-0.6420455610646296,0.08681879424444663,0.6462276753531182,-0.6420455610646296,0.03478550488717827
autocorrelation-robust,0.013989881378677946,-0.4411142832170432,0.22949198695158063,0.1099431007760777,-0.4411142832170434,0.003665290642829215,-0.5332547795570495,0.6378082177719616,0.22949198695158018,-0.5332547795570498,0.09303631592988916,-0.7020145796778734,0.1099431007760774,0.6378082177719623,-0.7020145796778735,0.03617658942302709
sample-hessian,0.013988457282705452,-0.5635627564143012,0.34164807652758367,-0.028527939642276748,-0.5635627564143013,0.0036635321931211026,-0.4685227304223706,0.618918922455508,0.3416480765275836,-0.46852273042237047,0.09288811975314044,-0.6386892279690042,-0.028527939642276973,0.6189189224555081,-0.6386892279690042,0.030985752967336237
