a,t0,beta_v,z
0.6232272543526541,0.4371067180253861,0.9167566564364324,0.017891212325660155
0.5981739702727898,0.44140673363179916,0.9081613116193924,0.049282859496227786
0.6165854883958684,0.43695637502163676,0.9981000453350832,0.01036621976425468
0.6316654137259264,0.4334594072801333,1.0322224163930647,0.022218949837804543
0.6496371453269052,0.4292898403131634,1.1116962377510138,-0.03812608985471755
0.6470624824149542,0.428935199153583,0.9659646043832898,-0.026755712279974066
0.6144530757996317,0.43996813214019226,1.0253744234361497,0.03865224252610887
0.6268807195568621,0.43933858364972134,0.9462676191322236,0.034399332526502374
0.6438340692607372,0.43166892544190116,0.9660748382347532,-0.0009681341265090983
0.6431487667285921,0.4341106284631828,1.065395807344737,-0.01502070422944589
0.6433355319532021,0.43681942165635795,1.0473228421266283,0.04005678419763787
0.6319539866935131,0.4308478972593894,1.0271068913499497,0.0016889390009261938
0.6204812268373581,0.43481008907121654,0.9677169939013662,0.012697464386227986
0.6007448748702489,0.4492727822723363,0.9574468235735109,0.062181241086613666
0.6522941904698939,0.4283082979922013,1.009007263873233,0.008835921274095663
0.6321383376562253,0.4345414617836791,1.0125470426197878,-0.020736702200269325
0.6207419034079836,0.4334172032625192,0.9356013454961343,0.010054956928235199
0.6271337305204332,0.4401350073970085,0.9999821488614087,0.030016253450727275
0.6256172455148838,0.4329565607722073,0.9798463795295873,0.021645635178251778
0.6607326615393695,0.4321275598714533,1.0479187364991427,0.01613047352849576
0.6393437030966093,0.4356206674544315,1.002724967106773,0.04683702367462861
0.6390269696976463,0.43248637030966125,1.0264919017289034,0.012080367191774757
0.6159274891620315,0.4400262483136091,0.9740486680231341,0.0634575606586481
0.6421251254282337,0.4305526816825952,0.9979638897153409,0.01367631345116324
0.6341482953723206,0.4338689409429029,0.9988070412073496,0.01503823870740713
0.6279210922658307,0.43853502387272636,0.9845972871306495,0.02303961343369823
0.634716207835745,0.42730228858278224,0.9803371457873882,-0.05346046682186204
0.6448292821785605,0.4318551073417098,1.0131066665798325,-0.006391047769036064
0.639386772184775,0.43565732840251364,1.033150300771364,0.013369387985322435
0.6403331849360457,0.43277638783982914,0.9237040226620516,0.03556892875227
0.6354229616739917,0.4334304733293547,0.994983781556812,0.008271489635510453
0.6378227781673419,0.4406596638675647,0.9639203334407451,0.05004996834705031
0.6113214362696129,0.435382318736671,0.9703236253287152,-0.00989489290334526
0.6322239397362859,0.43211015515036594,0.9847753507590491,-0.007122376243642522
0.6317285461575185,0.4372035918152287,1.0240747304792983,0.02820419263277613
0.6265675370418115,0.4348954180462981,1.0111374020045931,0.02883046554907708
0.62768006751251,0.4357433003483933,0.9295471086649918,0.034038741952084596
0.6525786917958729,0.4350800724982915,0.9200336521170994,0.06601219279305508
0.6370364383075127,0.4360706048197886,0.94037762773107,0.0611923951502341
0.6217032685827982,0.4340845052748062,1.0309396748110093,-0.035061419969304834
0.6478617604899933,0.4334943335902422,1.0150666335146374,0.009094296543419755
0.6258663129392582,0.4382374887427399,0.9419139401506332,0.023838047395285732
0.6282921634819376,0.4382921199229664,0.9999901023823979,0.024350600436042234
0.6215200531945575,0.432466201845027,1.0570580890110113,-0.04905224471001289
0.6260584320964857,0.43474272329505187,0.9804767230498547,0.019022534153033174
0.6341061667149784,0.4329104660690364,1.0244874361545226,0.008302713807251427
