,n,method,estimate,param,runtime,bias,sd,rmse
42,5000,mcmc,param,v,314.30618347406386,0.05530000000000001,0.04292120687958343,0.07000228567696917
43,5000,mcmc,param,z,314.30618347406386,-0.008560000000000007,0.01286881501926266,0.01545574326908934
44,5000,mcmc,unc,a,314.30618347406386,-0.0005054327128773392,0.00048280430818293244,0.000698972265005234
45,5000,mcmc,unc,t0,314.30618347406386,0.0003625935141205763,1.3010426069826053e-18,0.0003625935141205766
46,5000,mcmc,unc,v,314.30618347406386,0.0019687931204165634,0.0011215614116043765,0.0022658434083139127
47,5000,mcmc,unc,z,314.30618347406386,0.0013311849807373418,0.0005999999999999996,0.0014601552838450673
48,10000,mle,param,a,72.22067332744598,-0.00011716557931081727,0.004237119869465541,0.004238739501454992
49,10000,mle,param,t0,72.22067332744598,7.285426926879501e-05,0.001337986541144325,0.0013399685551661448
50,10000,mle,param,v,72.22067332744598,-0.00044931657232950785,0.030508542824165624,0.030511851314466605
51,10000,mle,param,z,72.22067332744598,-1.7616126296546072e-05,0.009622998097065717,0.009623014221336062
52,10000,mle,unc,a,72.22067332744598,0.00025681879680711727,7.23944630063392e-05,0.0002668273836536115
53,10000,mle,unc,t0,72.22067332744598,-0.00018639456846925224,2.850930759358346e-05,0.0001885622331600481
54,10000,mle,unc,v,72.22067332744598,-0.0004071099924534632,0.00023266955770785938,0.0004689068873874959
55,10000,mle,unc,z,72.22067332744598,0.00021535132654216323,0.00011195462624180893,0.0002427138895498412
56,10000,mcmc,param,a,676.898691778183,9.000000000000007e-05,0.004397942700854575,0.004398863489584559
57,10000,mcmc,param,t0,676.898691778183,-0.00026000000000000025,0.0014465130486794801,0.0014696938456699084
58,10000,mcmc,param,v,676.898691778183,0.05559,0.030868461250927286,0.06358545431150116
59,10000,mcmc,param,z,676.898691778183,-0.008660000000000006,0.009512328842086996,0.012863902984708811
60,10000,mcmc,unc,a,676.898691778183,0.0004620572991454262,0.0003469870314579493,0.0005778381673908056
61,10000,mcmc,unc,t0,676.898691778183,-0.0004465130486794797,6.505213034913027e-19,0.00044651304867948004
62,10000,mcmc,unc,v,676.898691778183,0.0009715387490727124,0.0008212186067059136,0.001272119310815529
63,10000,mcmc,unc,z,676.898691778183,0.0005076711579130042,0.00019899748742132356,0.0005452797489149318
